,compressor_1_dischargePressure,compressor_1_calculatedCapacity,compressor_1_suctionPressure,compressor_1_motorCurrent
2023-01-13 17:00:00-08:00,58.29899999999972,2.8000000000000083,8.569333333333285,0.0
2023-01-13 17:15:00-08:00,58.87655555555533,2.8000000000000083,8.484777777777735,0.0
2023-01-13 17:30:00-08:00,59.52733333333251,2.777777777777804,8.52177777777785,0.0
2023-01-13 17:45:00-08:00,60.17111111111105,2.8000000000000083,7.2022222222221535,0.0
2023-01-13 18:00:00-08:00,60.92077777777747,2.8000000000000083,5.1835555555554915,0.0
2023-01-13 18:15:00-08:00,61.58622222222296,2.8000000000000083,2.5459999999999763,0.0
2023-01-13 18:30:00-08:00,62.176444444445096,2.8000000000000083,2.505222222222219,0.0
2023-01-13 18:45:00-08:00,62.7284444444439,2.8000000000000083,4.723222222222213,0.0
2023-01-13 19:00:00-08:00,63.289222222223174,2.8000000000000083,9.339777777777782,0.0
2023-01-13 19:15:00-08:00,63.769666666667426,2.7994444444444504,8.98544444444442,0.0
2023-01-13 19:30:00-08:00,64.43822222222158,2.7482222222222057,5.029333333333329,0.0
2023-01-13 19:45:00-08:00,65.09711111111137,2.71055555555556,5.259222222222208,0.0
2023-01-13 20:00:00-08:00,65.27300000000008,2.7081111111111085,10.389333333333319,0.0
2023-01-13 20:15:00-08:00,65.34533333333367,2.704000000000013,6.634777777777791,0.0
2023-01-13 20:30:00-08:00,65.7548888888889,2.6999999999999984,4.505222222222234,0.0
2023-01-13 20:45:00-08:00,66.3170000000006,2.7007777777777773,5.176555555555541,0.0
2023-01-13 21:00:00-08:00,66.5664444444433,2.6999999999999984,4.489111111111109,0.0
2023-01-13 21:15:00-08:00,66.79900000000066,2.6999999999999984,9.959666666666664,0.0
2023-01-13 21:30:00-08:00,66.96722222222223,2.6999999999999984,9.081888888888907,0.0
2023-01-13 21:45:00-08:00,67.44611111111035,2.6999999999999984,4.330666666666673,0.0
2023-01-13 22:00:00-08:00,67.83833333333436,2.6999999999999984,3.072666666666662,0.0
2023-01-13 22:15:00-08:00,68.25544444444412,2.6999999999999984,3.9229999999999996,0.0
2023-01-13 22:30:00-08:00,68.64622222222104,2.6999999999999984,9.724555555555524,0.0
2023-01-13 22:45:00-08:00,69.02400000000007,2.6999999999999984,8.635999999999976,0.0
2023-01-13 23:00:00-08:00,69.52833333333271,2.6999999999999984,4.101888888888897,0.0
2023-01-13 23:15:00-08:00,70.00099999999928,2.710666666666704,9.378333333333325,0.0
2023-01-13 23:30:00-08:00,70.39800000000045,2.8000000000000083,9.882222222222243,0.0
2023-01-13 23:45:00-08:00,70.86700000000008,2.8000000000000083,6.774111111111094,0.0
2023-01-14 00:00:00-08:00,71.27022222222256,2.8000000000000083,4.472333333333339,0.0
2023-01-14 00:15:00-08:00,71.68533333333241,2.8000000000000083,4.27788888888888,0.0
2023-01-14 00:30:00-08:00,71.9817777777776,3.151222222222241,9.299111111111133,0.0
2023-01-14 00:45:00-08:00,72.0336666666658,3.0236666666666694,7.625333333333328,0.0
2023-01-14 01:00:00-08:00,72.44588888888866,2.907888888888938,3.0435555555555585,0.0
2023-01-14 01:15:00-08:00,73.07488888888928,2.900000000000049,10.122111111111105,0.0
2023-01-14 01:30:00-08:00,73.67966666666617,2.9944444444444445,9.60199999999999,0.0
2023-01-14 01:45:00-08:00,74.26111111111182,3.0,5.573111111111105,0.0
2023-01-14 02:00:00-08:00,74.55511111111078,3.0,4.764333333333331,0.0
2023-01-14 02:15:00-08:00,74.59633333333252,3.1667777777778086,9.801111111111112,0.0
2023-01-14 02:30:00-08:00,74.6553333333336,3.627888888888869,10.247444444444419,0.0
2023-01-14 02:45:00-08:00,74.9711111111107,3.476333333333355,3.8287777777777845,0.0
2023-01-14 03:00:00-08:00,75.16488888888902,3.4054444444444947,7.061333333333305,0.0
2023-01-14 03:15:00-08:00,75.23100000000069,3.584666666666609,10.045777777777717,0.0
2023-01-14 03:30:00-08:00,75.5644444444432,3.599999999999943,7.491333333333378,0.0
2023-01-14 03:45:00-08:00,75.78733333333318,3.599999999999943,6.155999999999937,0.0
2023-01-14 04:00:00-08:00,75.96466666666686,3.599999999999943,6.886333333333304,0.0
2023-01-14 04:15:00-08:00,76.02099999999972,3.599999999999943,6.9645555555555525,0.0
2023-01-14 04:30:00-08:00,76.23566666666832,3.599999999999943,6.748222222222135,0.0
2023-01-14 04:45:00-08:00,76.29144444444485,3.599999999999943,6.847222222222213,0.0
2023-01-14 05:00:00-08:00,76.30077777777835,3.599999999999943,7.6696666666666395,0.0
2023-01-14 05:15:00-08:00,76.36166666666763,3.599999999999943,5.721222222222268,0.0
2023-01-14 05:30:00-08:00,76.30888888889004,3.599999999999943,4.8907777777777754,0.0
2023-01-14 05:45:00-08:00,76.36377777777831,3.599999999999943,5.347000000000009,0.0
2023-01-14 06:00:00-08:00,76.44199999999995,3.599999999999943,3.546222222222237,0.0
2023-01-14 06:15:00-08:00,76.4592222222225,3.58355555555551,2.61144444444444,0.0
2023-01-14 06:30:00-08:00,76.08577777777744,3.599999999999943,6.810222222222233,0.0
2023-01-14 06:45:00-08:00,75.36488888888917,3.6914444444443912,10.36311111111115,0.0
2023-01-14 07:00:00-08:00,74.66288888888849,3.278888888888813,8.711111111111103,0.0
2023-01-14 07:15:00-08:00,74.28111111111164,3.225111111111057,3.31033333333333,0.0
2023-01-14 07:30:00-08:00,74.58755555555602,3.2047777777777466,4.340444444444459,0.0
2023-01-14 07:45:00-08:00,74.89400000000104,3.1454444444444247,7.85166666666669,0.0
2023-01-14 08:00:00-08:00,74.46833333333423,2.8746666666667036,10.87133333333334,0.0
2023-01-14 08:15:00-08:00,74.070888888889,2.8000000000000083,7.539333333333343,0.0
2023-01-14 08:30:00-08:00,74.1541111111113,2.8000000000000083,6.1342222222222,0.0
2023-01-14 08:45:00-08:00,74.49133333333276,2.8000000000000083,6.594666666666611,0.0
